id,amt,flow,inex,notes,ac1_id,ac2_id,trans_id
10000000001,1000,2,3,Dep(cash)  10000000001,1,12,10000000001
10000000002,1000,2,3,Dep(cash)  10000000002,1,12,10000000002
10000000003,1000,2,3,Dep(cash)  10000000003,1,12,10000000003
10000000004,1000,2,3,Dep(cash)  10000000004,1,12,10000000004
10000000005,1000,2,3,Dep(cash)  10000000005,1,12,10000000005
10000000006,1,2,3,Dep(cash)  10000000006,1,12,10000000006
40000000003,200,2,3,Dep(cash)  40000000003,1,12,40000000003
40000000004,1000,2,3,CashShareSales 40000000004,4,12,40000000004
40000000005,100,2,1,CashPassbookSales 40000000005,2,12,40000000005
40000000006,200,2,3,Dep(cash)  40000000006,1,12,40000000006
40000000007,1000,2,3,CashShareSales 40000000007,4,12,40000000007
40000000008,100,2,1,CashPassbookSales 40000000008,2,12,40000000008
40000000009,200,2,3,Dep(cash)  40000000009,1,12,40000000009
40000000010,1000,2,3,CashShareSales 40000000010,4,12,40000000010
40000000011,100,2,1,CashPassbookSales 40000000011,2,12,40000000011
40000000012,200,2,3,Dep(cash)  40000000012,1,12,40000000012
40000000013,1000,2,3,CashShareSales 40000000013,4,12,40000000013
40000000014,100,2,1,CashPassbookSales 40000000014,2,12,40000000014
40000000015,200,2,3,Dep(cash)  40000000015,1,12,40000000015
40000000016,1000,2,3,CashShareSales 40000000016,4,12,40000000016
40000000017,100,2,1,CashPassbookSales 40000000017,2,12,40000000017
40000000018,200,2,3,Dep(cash)  40000000018,1,12,40000000018
40000000019,1000,2,3,CashShareSales 40000000019,4,12,40000000019
40000000020,100,2,1,CashPassbookSales 40000000020,2,12,40000000020
40000000021,200,2,3,Dep(cash)  40000000021,1,12,40000000021
40000000022,1000,2,3,CashShareSales 40000000022,4,12,40000000022
40000000023,100,2,1,CashPassbookSales 40000000023,2,12,40000000023
40000000024,200,2,3,Dep(cash)  40000000024,1,12,40000000024
40000000025,1000,2,3,CashShareSales 40000000025,4,12,40000000025
40000000026,100,2,1,CashPassbookSales 40000000026,2,12,40000000026
40000000027,200,2,3,Dep(cash)  40000000027,1,12,40000000027
40000000028,1000,2,3,CashShareSales 40000000028,4,12,40000000028
40000000029,100,2,1,CashPassbookSales 40000000029,2,12,40000000029
40000000030,200,2,3,Dep(cash)  40000000030,1,12,40000000030
40000000031,1000,2,3,CashShareSales 40000000031,4,12,40000000031
40000000032,100,2,1,CashPassbookSales 40000000032,2,12,40000000032
40000000033,200,2,3,Dep(cash)  40000000033,1,12,40000000033
40000000034,1000,2,3,CashShareSales 40000000034,4,12,40000000034
40000000035,100,2,1,CashPassbookSales 40000000035,2,12,40000000035
40000000038,200,2,3,Dep(cash)  40000000038,1,12,40000000038
40000000039,1000,2,3,CashShareSales 40000000039,4,12,40000000039
40000000040,100,2,1,CashPassbookSales 40000000040,2,12,40000000040
40000000041,200,2,3,Dep(cash)  40000000041,1,12,40000000041
40000000042,1000,2,3,CashShareSales 40000000042,4,12,40000000042
40000000043,100,2,1,CashPassbookSales 40000000043,2,12,40000000043
40000000044,200,2,3,Dep(cash)  40000000044,1,12,40000000044
40000000045,1000,2,3,CashShareSales 40000000045,4,12,40000000045
40000000046,100,2,1,CashPassbookSales 40000000046,2,12,40000000046
40000000047,200,2,3,Dep(cash)  40000000047,1,12,40000000047
40000000048,1000,2,3,CashShareSales 40000000048,4,12,40000000048
40000000049,100,2,1,CashPassbookSales 40000000049,2,12,40000000049
40000000050,200,2,3,Dep(cash)  40000000050,1,12,40000000050
40000000051,1000,2,3,CashShareSales 40000000051,4,12,40000000051
40000000052,100,2,1,CashPassbookSales 40000000052,2,12,40000000052
40000000053,200,2,3,Dep(cash)  40000000053,1,12,40000000053
40000000054,1000,2,3,CashShareSales 40000000054,4,12,40000000054
40000000055,100,2,1,CashPassbookSales 40000000055,2,12,40000000055
40000000056,200,2,3,Dep(cash)  40000000056,1,12,40000000056
40000000057,1000,2,3,CashShareSales 40000000057,4,12,40000000057
40000000058,100,2,1,CashPassbookSales 40000000058,2,12,40000000058
40000000059,200,2,3,Dep(cash)  40000000059,1,12,40000000059
40000000060,1000,2,3,CashShareSales 40000000060,4,12,40000000060
40000000061,100,2,1,CashPassbookSales 40000000061,2,12,40000000061
40000000062,200,2,3,Dep(cash)  40000000062,1,12,40000000062
40000000063,1000,2,3,CashShareSales 40000000063,4,12,40000000063
40000000064,100,2,1,CashPassbookSales 40000000064,2,12,40000000064
40000000065,200,2,3,Dep(cash)  40000000065,1,12,40000000065
40000000066,1000,2,3,CashShareSales 40000000066,4,12,40000000066
40000000067,100,2,1,CashPassbookSales 40000000067,2,12,40000000067
40000000068,200,2,3,Dep(cash)  40000000068,1,12,40000000068
40000000069,1000,2,3,CashShareSales 40000000069,4,12,40000000069
40000000070,100,2,1,CashPassbookSales 40000000070,2,12,40000000070
40000000071,200,2,3,Dep(cash)  40000000071,1,12,40000000071
40000000072,1000,2,3,CashShareSales 40000000072,4,12,40000000072
40000000073,100,2,1,CashPassbookSales 40000000073,2,12,40000000073
40000000074,200,2,3,Dep(cash)  40000000074,1,12,40000000074
40000000075,8800,2,3,Dep(cash)  40000000075,1,12,40000000075
40000000076,1000,2,3,CashShareSales 40000000076,4,12,40000000076
40000000077,100,2,1,CashPassbookSales 40000000077,2,12,40000000077
40000000079,200,2,3,Dep(cash)  40000000079,1,12,40000000079
40000000080,1000,2,3,CashShareSales 40000000080,4,12,40000000080
40000000081,100,2,1,CashPassbookSales 40000000081,2,12,40000000081
40000000082,400,2,3,Dep(cash)  40000000082,1,12,40000000082
40000000083,1000,2,3,CashShareSales 40000000083,4,12,40000000083
40000000084,100,2,1,CashPassbookSales 40000000084,2,12,40000000084
40000000085,200,2,3,Dep(cash)  40000000085,1,12,40000000085
40000000086,1000,2,3,CashShareSales 40000000086,4,12,40000000086
40000000087,100,2,1,CashPassbookSales 40000000087,2,12,40000000087
40000000088,200,2,3,Dep(cash)  40000000088,1,12,40000000088
40000000089,1000,2,3,CashShareSales 40000000089,4,12,40000000089
40000000090,100,2,1,CashPassbookSales 40000000090,2,12,40000000090
40000000091,200,2,3,Dep(cash)  40000000091,1,12,40000000091
40000000092,1000,2,3,CashShareSales 40000000092,4,12,40000000092
40000000093,100,2,1,CashPassbookSales 40000000093,2,12,40000000093
40000000094,400,2,3,Dep(cash)  40000000094,1,12,40000000094
40000000095,2000,2,3,CashShareSales 40000000095,4,12,40000000095
40000000096,100,2,1,CashPassbookSales 40000000096,2,12,40000000096
40000000097,400,2,3,Dep(cash)  40000000097,1,12,40000000097
40000000098,1000,2,3,CashShareSales 40000000098,4,12,40000000098
40000000099,100,2,1,CashPassbookSales 40000000099,2,12,40000000099
40000000100,400,2,3,Dep(cash)  40000000100,1,12,40000000100
40000000101,1000,2,3,CashShareSales 40000000101,4,12,40000000101
40000000102,100,2,1,CashPassbookSales 40000000102,2,12,40000000102
40000000103,400,2,3,Dep(cash)  40000000103,1,12,40000000103
40000000104,1000,2,3,CashShareSales 40000000104,4,12,40000000104
40000000105,100,2,1,CashPassbookSales 40000000105,2,12,40000000105
40000000106,400,2,3,Dep(cash)  40000000106,1,12,40000000106
40000000107,1000,2,3,CashShareSales 40000000107,4,12,40000000107
40000000108,100,2,1,CashPassbookSales 40000000108,2,12,40000000108
40000000109,200,2,3,Dep(cash)  40000000109,1,12,40000000109
40000000110,1000,2,3,CashShareSales 40000000110,4,12,40000000110
40000000111,100,2,1,CashPassbookSales 40000000111,2,12,40000000111
40000000113,110000,2,3,Dep(cash)  40000000113,1,12,40000000113
40000000114,1000,2,3,CashShareSales 40000000114,4,12,40000000114
40000000115,100,2,1,CashPassbookSales 40000000115,2,12,40000000115
40000000116,8900,2,3,Dep(cash)  40000000116,1,12,40000000116
40000000117,1000,2,3,CashShareSales 40000000117,4,12,40000000117
40000000118,100,2,1,CashPassbookSales 40000000118,2,12,40000000118
40000000119,5000,2,3,Dep(cash)  40000000119,1,12,40000000119
40000000120,200,2,3,Dep(cash)  40000000120,1,12,40000000120
40000000121,1000,2,3,CashShareSales 40000000121,4,12,40000000121
40000000122,100,2,1,CashPassbookSales 40000000122,2,12,40000000122
40000000123,400,2,3,Dep(cash)  40000000123,1,12,40000000123
40000000124,1000,2,3,CashShareSales 40000000124,4,12,40000000124
40000000125,100,2,1,CashPassbookSales 40000000125,2,12,40000000125
40000000126,400,2,3,Dep(cash)  40000000126,1,12,40000000126
40000000127,1000,2,3,CashShareSales 40000000127,4,12,40000000127
40000000128,100,2,1,CashPassbookSales 40000000128,2,12,40000000128
40000000129,200,2,3,CashShareSales 40000000129,4,12,40000000129
40000000130,1000,2,3,CashShareSales 40000000130,4,12,40000000130
40000000131,200,2,3,Dep(cash)  40000000131,1,12,40000000131
40000000132,100,2,1,CashPassbookSales 40000000132,2,12,40000000132
40000000133,100,2,3,revoking trans,12,2,40000000133
40000000134,2000,2,3,revoking trans,12,4,40000000134
40000000135,400,2,3,revoking trans,12,1,40000000135
40000000136,400,2,3,Dep(cash)  40000000133,1,12,40000000136
40000000137,2000,2,3,CashShareSales 40000000134,4,12,40000000137
