Test Case ID,Description,Page Name,Object,Action ,Data Set,Wait after
SalesCardPayment,item Code,,item_id,input,item_id,5000
SalesCardPayment,item Discount,,item_disc,input,item_disc,2500
SalesCardPayment,enter qty,,sal_qty,input,sal_qty,2000
SalesCardPayment,total discount,,BigDecimal_tdisc,input,BigDecimal_tdisc,2000
SalesCardPayment,payment dialog,,pay,click,pay,2000
SalesCardPayment,Cash Tendered,,bigDecimal_cashTend,input,cashTend,2000
SalesCardPayment,Card Payment,,bigDecimal_card,input,cardPaid,2000
SalesCardPayment,Print,,print,click,print,2000
NaN,save,,save,click,save,2000
NaN,Re-print,,reprint,click,reprint,5000
