Test Case ID,Description,Page Name,Object,Action ,Data Set,Wait after
SalesSuspandCont,item search dialog,,item_id,SearchDialogShorcutKey,NaN,5000
SalesSuspandCont,seach keywords,,string_filter,input,string_filter,2500
SalesSuspandCont,select item from search table,,tblSearch,SearchDialogSelect,NaN,2500
SalesSuspandCont,item Discount,,item_disc,input,item_disc,2500
SalesSuspandCont,enter qty,,sal_qty,input,sal_qty,2000
SalesSuspandCont,total discount,,BigDecimal_tdisc,input,BigDecimal_tdisc,2000
SalesSuspandCont,payment dialog,,pay,click,pay,2000
SalesSuspandCont,Cash Tendered,,bigDecimal_cashTend,input,cashTend,2000
SalesSuspandCont,Print,,print,click,print,2000
NaN,save,,save,click,save,2000
NaN,Re-print,,reprint,click,reprint,5000
