Test Case ID,Description,Page Name,Object,Action ,Data Set,Wait after
SalesTamilPrint,item search dialog,,item_id,SearchDialogShorcutKey,NaN,5000
SalesTamilPrint,seach keywords,,string_filter,input,string_filter,2500
SalesTamilPrint,select item from search table,,tblSearch,SearchDialogSelect,NaN,2500
SalesTamilPrint,item Discount,,item_disc,input,item_disc,2500
SalesTamilPrint,enter qty,,sal_qty,input,sal_qty,2000
SalesTamilPrint,total discount,,BigDecimal_tdisc,input,BigDecimal_tdisc,2000
SalesTamilPrint,payment dialog,,pay,click,pay,2000
SalesTamilPrint,Cash Tendered,,bigDecimal_cashTend,input,cashTend,2000
SalesTamilPrint,Print,,printTamil,click,printTamil,2000
NaN,save,,save,click,save,2000
NaN,Re-print,,reprint,click,reprint,5000
