Test Case ID,Description,Page Name,Object,Action ,Data Set,Wait after
SalesVerifyData,enter item,,item_id,input,item_id,1000
SalesVerifyData,Verify Price,,batc_salPrice,verifyText,batc_salPrice,1000
SalesVerifyData,enter itemDisc,,item_disc,input,item_disc,1000
SalesVerifyData,Verify Rate,,bigDecimal_rate,verifyText,bigDecimal_rate,1000
SalesVerifyData,enter qty,,sal_qty,input,sal_qty,1000
SalesVerifyData,Verify amount,,BigDecimal_amt,verifyText,BigDecimal_amt,1000
SalesVerifyData,Verify Total,,BigDecimal_total,verifyText,BigDecimal_total,1000
SalesVerifyData,enter special disc,,BigDecimal_tdisc,input,BigDecimal_tdisc,1000
SalesVerifyData,Verify net total,,BigDecimal_netTotal,verifyText,BigDecimal_netTotal,1000
SalesVerifyData,payment dialog,,pay,click,pay,2000
SalesVerifyData,Verify net total in Payment dg,,bigDecimal_netTotal,verifyText,bigDecimal_netTotal,1000
SalesVerifyData,Cash Tendered,,bigDecimal_cashTend,input,bigDecimal_cashTend,1000
SalesVerifyData,Verify cash paid,,bigDecimal_cashPaid,verifyText,bigDecimal_cashPaid,1000
SalesVerifyData,Verify total paid,,bigDecimal_totalPaid,verifyText,bigDecimal_totalPaid,1000
SalesVerifyData,Verify balance,,bigDecimal_balance,verifyText,bigDecimal_balance,1000
SalesVerifyData,print,,print,click,print,1000
NaN,verify tables,,"Split,Sal,Salnote,Trans,Cac",fnlyVerifyTables,NaN,1000
NaN,Re-print,,reprint,click,reprint,5000
